year,category,variable,units,magnitude,source,data_value,flag
2012,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1744269,F
2013,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1739228,F
2014,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1730652,F
2015,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1956018,R
2016,Total marine economy,Gross earnings,Dollars,Thousands,LEED,1999658,R
2017,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2027065,R
2018,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2127784,R
2019,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2242141,R
2020,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2321779,P
2021,Total marine economy,Gross earnings,Dollars,Thousands,LEED,2321600,P
2007,Total marine economy,Mean earnings,Dollars,Thousands,LEED,548840,R
2008,Total marine economy,Mean earnings,Dollars,Thousands,LEED,574150,R
2009,Total marine economy,Mean earnings,Dollars,Thousands,LEED,635110,R
2010,Total marine economy,Mean earnings,Dollars,Thousands,LEED,680010,R
2011,Total marine economy,Mean earnings,Dollars,Thousands,LEED,712630,R
2012,Total marine economy,Mean earnings,Dollars,Thousands,LEED,724090,R
2013,Total marine economy,Mean earnings,Dollars,Thousands,LEED,747470,R
2014,Total marine economy,Mean earnings,Dollars,Thousands,LEED,732930,R
2015,Total marine economy,Mean earnings,Dollars,Thousands,LEED,781160,R
2016,Total marine economy,Mean earnings,Dollars,Thousands,LEED,788420,R
2017,Total marine economy,Mean earnings,Dollars,Thousands,LEED,774370,R
2018,Total marine economy,Mean earnings,Dollars,Thousands,LEED,797140,R
2019,Total marine economy,Mean earnings,Dollars,Thousands,LEED,838620,R
2020,Total marine economy,Mean earnings,Dollars,Thousands,LEED,853300,P
2021,Total marine economy,Mean earnings,Dollars,Thousands,LEED,863840,P
2007,Total marine economy,Wage and salary earners,Number,Actual,LEED,37353,R
2008,Total marine economy,Wage and salary earners,Number,Actual,LEED,37236,R
2009,Total marine economy,Wage and salary earners,Number,Actual,LEED,36576,R
2010,Total marine economy,Wage and salary earners,Number,Actual,LEED,33819,R
2011,Total marine economy,Wage and salary earners,Number,Actual,LEED,33654,R
2012,Total marine economy,Wage and salary earners,Number,Actual,LEED,33894,R
2013,Total marine economy,Wage and salary earners,Number,Actual,LEED,33018,F
2014,Total marine economy,Wage and salary earners,Number,Actual,LEED,35070,R
2015,Total marine economy,Wage and salary earners,Number,Actual,LEED,35121,R
2016,Total marine economy,Wage and salary earners,Number,Actual,LEED,35751,R
2017,Total marine economy,Wage and salary earners,Number,Actual,LEED,38082,R
2018,Total marine economy,Wage and salary earners,Number,Actual,LEED,38880,R
2019,Total marine economy,Wage and salary earners,Number,Actual,LEED,39867,R
2020,Total marine economy,Wage and salary earners,Number,Actual,LEED,40593,P
2021,Total marine economy,Wage and salary earners,Number,Actual,LEED,39474,P
